document,year,doc_type,page_number,category,pattern_matched,extracted_text,context,word_count
PAT_2021_LegalDocuments-ModernSlaveryAct-012423.pdf,2021,Modern Slavery Act,5,Target/Goal,supply chain,supply chain, third party.” a.	 Verification Protocols Patagonia is committed to fair labor practices within our supply chain.  We are a founding and fully  accredited member of the Fair Labor Association (FLA). The purpose o,584
PAT_2021_LegalDocuments-ModernSlaveryAct-012423.pdf,2021,Modern Slavery Act,5,Target/Goal,supply chain,supply chain,"requires suppliers to  prohibit any forms of forced labor, human trafficking, or child labor in the supply chain.  Additionally,  our Code has detailed benchmark standards that align with each code element.   We ",584
PAT_2021_LegalDocuments-ModernSlaveryAct-012423.pdf,2021,Modern Slavery Act,5,Target/Goal,supply chain,supply chain,"omply with the FLA’s Principles of Fair Labor and Responsible Sourcing. To maximize coverage of our supply chain and to ensure checks-and-balances, we engage with third- party monitors and employ a team of full-t",584
PAT_2021_LegalDocuments-ModernSlaveryAct-012423.pdf,2021,Modern Slavery Act,5,Target/Goal,supply chain,supply chain,"human trafficking. In addition, the FLA randomly audits  a sampling of the garment factories in our supply chain each year and posts the results for public  viewing on their website. To ensure that our supply cha",584
PAT_2021_LegalDocuments-ModernSlaveryAct-012423.pdf,2021,Modern Slavery Act,5,Target/Goal,supply chain,supply chain,"pply chain each year and posts the results for public  viewing on their website. To ensure that our supply chain complies with our policies and procedures, all of our new factories  undergo a four-fold prescreeni",584
PAT_2021_LegalDocuments-ModernSlaveryAct-012423.pdf,2021,Modern Slavery Act,5,Target/Goal,supply chain,supply chain,cturers on an ongoing basis.  New and existing suppliers submit mapping documents that detail their supply chain and are  required to keep Patagonia abreast of any changes.  Patagonia uses this information to ide,584
PAT_2021_LegalDocuments-ModernSlaveryAct-012423.pdf,2021,Modern Slavery Act,6,Target/Goal,reduce,reduce,e) are audited less frequently but independent  third party audit reports are collected annually to reduce audit fatigue. Our sophisticated suppli- ers are instead offered free trainings and other engagemen,635
PAT_2021_LegalDocuments-ModernSlaveryAct-012423.pdf,2021,Modern Slavery Act,6,Target/Goal,achieve,achieve,"ding consultations, and other types of engagements that help the supplier identify  root causes and achieve full compliance. Depending on the factory’s needs and performance,  these events can occur monthly ",635
PAT_2021_LegalDocuments-ModernSlaveryAct-012423.pdf,2021,Modern Slavery Act,6,Target/Goal,supply chain,supply chain,"s, we have taken concrete steps to improve identification of the pres- ence of labor brokers in our supply chain through our social audit tool and protocol.  Our social  audit tool includes a section devoted to u",635
PAT_2021_LegalDocuments-ModernSlaveryAct-012423.pdf,2021,Modern Slavery Act,6,Target/Goal,supply chain,supply chain,"f suppliers to evaluate supplier compliance with company standards for trafficking and slav- ery in supply chains. The disclosure shall specify if the verification was not an independent, unan- nounced audit.” a.",635
PAT_2021_LegalDocuments-ModernSlaveryAct-012423.pdf,2021,Modern Slavery Act,7,Target/Goal,commitment,commitment,semination of information to cope with the impacts of covid-19 on the workplace.  We  make a public commitment to responsible purchasing and protecting workers’ rights and well-be- ing in this unprecedented tim,512
PAT_2021_LegalDocuments-ModernSlaveryAct-012423.pdf,2021,Modern Slavery Act,7,Target/Goal,fair trade,Fair Trade,"ntinuous improvement programs, capacity building initiatives, like the ILO Better Work  program and Fair Trade, and collaboration efforts with other brands and the FLA. b.	 Audit Statistics Pre-sourcing  Patago",512
PAT_2021_LegalDocuments-ModernSlaveryAct-012423.pdf,2021,Modern Slavery Act,8,Target/Goal,commitment,commitment,"g and have received acknowledgment of compliance.  We have also released a public  statement of our commitment to this policy. b.	 Accountability Efforts Along with the compliance statement, suppliers are expec",569
PAT_2021_LegalDocuments-ModernSlaveryAct-012423.pdf,2021,Modern Slavery Act,8,Target/Goal,supply chain,supply chain,hird  parties.  We employ four full-time Field Managers dedicated to monitoring and supporting our  supply chain on social and environmental responsibility. This team is strategically based through- out Asia to r,569
PAT_2021_LegalDocuments-ModernSlaveryAct-012423.pdf,2021,Modern Slavery Act,8,Target/Goal,supply chain,supply chain,sponsibility. This team is strategically based through- out Asia to reflect the distribution of our supply chain. All field staff receive ongoing refresher and  skills-building training and field evaluations. Our,569
